Timestamp,FramePerSec,FrameID,Thumb_Ab,Thumb,Index,Middle,Ring_Little,LMC_Thumb Ab,LMC_Thumb,Index_Meta-Proximal,Middle_Meta-Proximal,Ring_Little_Meta-Proximal
3298024378,86,143767,1.058820,46.588080,27.529320,22.235220,20.117580,121.746768,31.827912,16.341934,15.130366,17.403906
3298309255,90,143793,1.058820,32.117540,18.352880,16.941120,19.411700,121.747661,31.516512,17.432173,16.422318,18.416984
3298594219,91,143819,1.058820,32.117540,18.705820,17.294060,19.764640,121.746720,31.841884,18.233754,17.313349,19.094258
3298868734,91,143844,1.058820,32.823420,19.764640,18.705820,20.823460,121.745875,32.070635,17.556798,16.381902,18.888489
3299152996,91,143870,1.058820,32.470480,20.117580,18.705820,21.176400,121.745683,32.117832,20.107662,20.079118,22.220344
3299438638,87,143894,1.058820,31.764600,21.176400,20.823460,23.646980,121.745573,33.859399,20.882851,20.111738,22.657257
3299711828,90,143919,1.058820,30.352840,22.235220,22.235220,24.705800,121.745909,34.219316,20.735608,20.012907,22.462007
3299996758,91,143945,1.058820,28.941080,22.941100,22.235220,25.058740,121.745654,34.326842,18.490221,17.847581,20.636710
3300281646,91,143971,1.058820,28.235200,21.529340,20.470520,23.646980,121.746171,34.027884,19.649660,21.815901,26.008963
3300567060,91,143997,1.058820,27.882260,21.176400,22.941100,27.529320,121.745877,30.708556,60.331189,55.685727,52.229617
3300851431,87,144021,1.058820,32.117540,47.293960,49.764540,50.470420,121.746895,26.993764,81.842977,81.386687,73.624472
3300928114,88,144028,1.058820,33.529300,57.529220,58.940980,56.823340,121.746040,26.797188,82.752975,82.719366,73.791167
3301016335,89,144036,1.058820,36.352820,65.646840,62.117440,58.588040,121.746052,26.576120,83.096897,83.611866,74.028073
3301092473,90,144043,1.058820,40.588100,67.764480,62.470380,58.588040,121.745858,26.588973,83.220073,83.681869,74.048431
3301169153,86,144049,1.058820,41.646920,67.764480,62.470380,58.588040,121.747930,26.574325,83.223670,83.794817,74.080391
3301256792,88,144057,1.058820,41.646920,67.764480,62.470380,58.588040,121.744458,26.629747,83.376306,83.862229,74.598213
3301333476,89,144064,1.058820,41.646920,67.764480,62.470380,58.588040,121.745596,26.929409,83.194781,83.511407,74.792992
