Timestamp,FramePerSec,FrameID,Thumb_Ab,Thumb,Index,Middle,Ring_Little,LMC_Thumb Ab,LMC_Thumb,Index_Meta-Proximal,Middle_Meta-Proximal,Ring_Little_Meta-Proximal
3262571399,89,140742,1.058820,0.352940,0.352940,0.000000,0.000000,121.748245,26.288402,14.240329,5.081766,11.249386
3262851627,81,140765,1.058820,38.470460,15.529360,5.294100,12.352900,121.748200,29.132886,6.362629,6.445635,12.798115
3263142091,87,140791,1.058820,39.529280,7.058800,5.999980,13.058780,121.745218,30.262239,4.636023,2.746371,13.363406
3263421825,89,140816,1.058820,36.352820,5.647040,3.882340,14.470540,121.744762,31.397762,6.888344,0.719967,14.909316
3263701578,89,140841,1.058820,34.235180,6.352920,1.411760,15.882300,121.746433,30.949352,6.461616,1.781230,20.480669
3263981351,89,140866,1.058820,32.823420,7.411740,1.058820,20.470520,121.748122,31.791033,6.726631,1.138713,15.172017
3264272860,81,140890,1.058820,33.176360,7.058800,1.764700,18.352880,121.744663,31.662041,8.748628,1.330160,12.262947
3264552105,87,140915,1.058820,32.470480,8.823500,1.058820,14.470540,121.745836,31.555988,10.654068,2.229163,10.054041
3264843019,89,140941,1.058820,32.470480,10.941140,1.764700,11.647020,121.746963,29.932922,5.223466,10.068652,6.131711
3265134289,89,140967,1.058820,34.235180,7.764680,8.470560,7.764680,121.744973,25.225428,72.750051,70.249287,74.965040
3265424987,86,140992,1.058820,40.588100,33.529300,41.293980,39.529280,121.745418,26.026766,83.197743,83.644221,80.966136
3265492082,87,140998,1.058820,43.058680,43.764560,52.235120,49.411600,121.748220,26.267534,83.307330,83.604642,81.722957
3265570412,88,141005,1.058820,43.764560,53.999820,63.176260,59.293920,121.746579,26.554254,83.961861,83.740282,82.240847
3265659945,79,141011,1.058820,42.352800,64.588020,73.764460,69.176240,121.746114,26.778771,84.266694,83.811929,82.519449
3265738358,82,141018,1.058820,41.646920,74.823280,77.999740,78.705620,121.747979,27.236810,83.746334,83.818493,82.767322
3265816572,84,141025,1.058820,41.293980,80.470320,78.705620,83.646780,121.743740,27.877501,83.423538,83.818854,83.000557
3265895211,86,141032,1.058820,40.588100,81.529140,78.705620,84.352660,121.746453,28.349180,83.421850,83.805381,83.103794
3265973303,87,141039,1.058820,39.529280,81.529140,78.705620,84.352660,121.745490,28.604549,83.789948,83.964339,83.246576
3266051643,87,141046,1.058820,38.823400,81.529140,78.705620,84.352660,121.747878,28.887144,83.512819,83.887763,83.448721
3266141149,88,141054,1.058820,38.117520,81.529140,78.705620,84.352660,121.745490,29.288217,83.132156,83.727352,83.368725
3266219448,88,141061,1.058820,37.764580,81.529140,78.705620,84.352660,121.744232,29.383146,82.982345,83.603926,83.298458
3266297830,88,141068,1.058820,37.058700,81.529140,78.705620,84.352660,121.748522,29.324284,82.938737,83.591103,83.302850
3266376159,89,141075,1.058820,37.058700,81.529140,78.705620,84.352660,121.747320,29.269283,82.938632,83.481749,83.327034
3266455310,88,141082,1.058820,37.058700,81.529140,78.705620,84.352660,121.747680,29.207414,82.986542,83.524138,83.305825
3266533433,88,141089,1.058820,37.058700,81.529140,78.705620,84.352660,121.748633,29.085613,83.220025,83.799316,82.119667
3266611240,89,141096,1.058820,37.058700,81.529140,78.705620,84.352660,121.747803,29.340405,83.259110,83.544843,81.829199
3266689403,89,141103,1.058820,37.058700,81.529140,78.705620,84.352660,121.745276,30.567251,80.922305,81.999909,81.824034
3266779094,89,141111,1.058820,36.705760,81.529140,78.705620,84.352660,121.747207,32.193788,71.419242,70.343328,72.329442
3267047872,89,141135,1.058820,31.411660,80.470320,79.058560,81.529140,121.746347,30.290556,25.062198,20.751248,21.626228
3267338542,86,141159,1.058820,33.882240,53.646880,50.470420,50.823360,121.747303,26.017417,9.026312,43.881645,12.123518
3267618792,88,141184,1.058820,39.882220,16.588180,41.999860,16.941120,121.748107,23.083290,11.167438,49.273794,48.133278
3267909854,89,141210,1.058820,45.882200,11.294080,53.293940,41.999860,121.747083,22.194396,21.977912,49.318179,69.196728
3268200220,89,141236,1.058820,49.058660,20.117580,55.058640,71.293880,121.744650,25.118436,27.066996,49.321765,71.531817
3268469659,89,141260,1.058820,46.588080,28.235200,55.058640,79.764440,121.747106,25.131433,25.761211,72.891904,71.845780
3268770952,87,141285,1.058820,44.117500,29.646960,71.999760,80.470320,121.747472,26.004150,56.394565,56.415241,57.528389
3269050669,87,141309,1.058820,43.411620,51.176300,68.117420,68.470360,121.745449,22.320524,81.753901,82.826508,76.341440
3269128452,88,141316,1.058820,43.058680,59.999800,64.235080,65.293900,121.746680,23.002779,82.498644,83.603278,78.588851
3269205118,89,141323,1.058820,45.176320,62.823320,63.529200,64.940960,121.747076,23.434639,82.644274,83.712807,79.812505
3269281866,89,141330,1.058820,47.999840,63.176260,63.529200,64.940960,121.746742,23.591150,81.448363,82.076085,79.737075
3269369498,90,141338,1.058820,47.646900,63.176260,63.529200,64.940960,121.747013,24.390295,81.223523,81.966731,80.816108
3269446272,90,141345,1.058820,46.941020,63.176260,63.529200,64.940960,121.746326,24.752783,81.103730,81.928385,81.823651
3269522907,90,141352,1.058820,45.882200,63.176260,63.529200,64.940960,121.745029,25.117158,80.767886,81.795039,82.417410
3269599649,90,141359,1.058820,45.176320,63.176260,63.529200,64.940960,121.747511,25.547550,80.810925,81.878779,83.207926
3269687313,91,141367,1.058820,44.470440,63.176260,63.529200,64.940960,121.744398,25.742432,81.054850,82.057253,83.572452
