Timestamp,FramePerSec,FrameID,Thumb_Ab,Thumb,Index,Middle,Ring_Little,LMC_Thumb Ab,LMC_Thumb,Index_Meta-Proximal,Middle_Meta-Proximal,Ring_Little_Meta-Proximal
3364156077,93,149304,1.058820,53.646880,9.176440,13.411720,13.058780,121.746698,27.602729,4.928719,11.285483,10.112602
3364434389,93,149330,1.058820,43.411620,4.588220,11.999960,10.588200,121.746293,29.949392,5.823589,11.535014,9.994439
3364713492,93,149356,1.058820,37.764580,5.647040,12.352900,10.941140,121.746979,30.893349,5.695246,11.062628,10.129879
3365013211,90,149382,1.058820,34.941060,5.999980,12.352900,10.941140,121.747416,28.218080,16.187779,62.751490,52.339367
3365301256,91,149408,1.058820,37.058700,13.764660,43.411620,40.941040,121.746862,20.060851,77.599189,77.760160,77.570921
3365602114,92,149436,1.058820,48.352780,46.941020,81.882080,78.705620,121.748712,23.516442,77.398614,78.907587,69.846904
3365891012,92,149463,1.058820,49.764540,84.352660,87.882060,81.176200,121.746550,25.532460,78.685708,80.823739,70.298614
3365975402,93,149471,1.058820,47.999840,86.823240,88.235000,79.058560,121.746033,25.740723,79.119721,81.164420,71.448653
3366050378,93,149478,1.058820,45.882200,87.882060,88.587940,78.705620,121.746049,25.849532,79.308542,81.347053,72.190770
3366125244,85,149483,1.058820,43.411620,88.940880,88.587940,78.705620,121.744716,25.999369,79.289114,81.365785,72.333376
3366210917,88,149491,1.058820,43.058680,88.940880,88.587940,78.705620,121.745976,26.347485,79.192467,81.153935,72.651309
3366285867,89,149498,1.058820,42.705740,88.940880,88.587940,78.705620,121.744964,26.532023,78.977475,80.820171,72.823293
3366371451,91,149506,1.058820,42.352800,88.940880,88.587940,78.705620,121.745380,26.584162,78.960662,80.433680,73.010183
3366446450,87,149512,1.058820,41.999860,88.940880,88.587940,78.705620,121.743512,26.962571,77.902378,77.466134,72.674433
3366746074,92,149540,1.058820,41.293980,87.882060,87.529120,81.529140,121.745543,15.304211,14.936507,14.070762,12.755866
3367024295,93,149566,1.058820,53.293940,56.823340,55.058640,47.646900,121.746885,21.266870,2.158410,9.611578,10.536406
3367302536,93,149592,1.058820,55.764520,13.764660,14.823480,13.058780,121.744717,25.177894,1.410227,9.473933,10.616657
3367602282,88,149618,1.058820,46.941020,1.764700,10.235260,11.294080,121.743851,26.432374,1.227452,9.071876,9.495171
3367880585,92,149644,1.058820,43.411620,1.411760,10.235260,10.941140,121.746370,26.888780,1.721321,8.423744,8.751768
3368180060,91,149671,1.058820,42.352800,0.705880,9.529380,10.588200,121.748647,27.474770,2.403858,8.790895,8.492190
3368469186,92,149698,1.058820,41.293980,1.411760,8.823500,9.529380,121.745875,27.185964,2.290373,7.949892,7.622262
3368747372,93,149724,1.058820,40.235160,2.117640,9.176440,8.823500,121.746782,27.700201,1.694343,7.428310,7.405072
3369025536,90,149748,1.058820,40.588100,2.117640,8.470560,8.117620,121.747182,28.166655,1.660829,7.406506,7.692548
3369314600,92,149775,1.058820,39.529280,1.411760,8.117620,7.764680,121.746826,32.915301,79.048683,78.317804,79.629171
3369603497,93,149802,1.058820,33.882240,32.470480,41.999860,41.646920,121.745015,29.578132,83.087707,84.050223,84.679620
3369678415,93,149809,1.058820,31.764600,43.411620,52.941000,51.882180,121.746201,28.541121,82.854626,84.192404,84.837241
3369763973,93,149817,1.058820,32.823420,53.999820,63.882140,61.764500,121.747335,27.093564,82.886185,84.301025,84.796189
3369838995,93,149824,1.058820,37.058700,64.588020,74.823280,71.646820,121.745207,26.071226,82.751268,84.208352,84.414084
3369913941,93,149831,1.058820,39.882220,75.176220,84.352660,81.176200,121.746117,25.476344,82.595513,84.296231,83.998286
3369999497,93,149839,1.058820,41.646920,85.058540,87.529120,87.882060,121.746185,25.343043,82.496791,84.285693,82.466181
3370074360,93,149846,1.058820,43.058680,88.587940,87.882060,89.293820,121.744488,25.157269,82.379568,83.813775,82.193622
3370149291,93,149853,1.058820,43.764560,88.940880,87.882060,89.293820,121.744717,24.842316,82.361521,83.530893,81.948469
3370234890,86,149859,1.058820,44.117500,88.940880,87.882060,89.293820,121.744602,24.769135,82.176694,83.145262,81.575401
3370321203,88,149867,1.058820,44.823380,88.940880,87.882060,89.293820,121.747318,24.668829,81.863044,83.137646,81.793910
3370395532,90,149874,1.058820,44.823380,88.940880,87.882060,89.293820,121.745590,25.401731,78.653210,80.122195,81.480570
3370481119,91,149882,1.058820,45.176320,88.587940,87.882060,89.293820,121.746660,26.796657,69.185118,70.499568,72.762704
3370770044,93,149909,1.058820,41.646920,77.999740,79.411500,81.882080,121.745457,26.296053,4.544719,4.665681,5.073820
3371058997,93,149936,1.058820,41.646920,45.882200,45.529260,43.764560,121.748137,27.869777,5.345178,7.379502,7.638052
3371348094,93,149963,1.058820,40.588100,7.058800,8.470560,8.470560,121.746687,28.210858,5.360505,8.954464,8.154461
3371626241,87,149987,1.058820,39.529280,5.647040,9.176440,8.117620,121.745166,29.394406,4.767667,8.970055,7.599810
3371894249,90,150011,1.058820,37.411640,5.647040,9.529380,8.470560,121.745991,30.774375,5.424616,9.014023,6.805765
3372172080,92,150037,1.058820,34.941060,5.294100,9.529380,7.764680,121.747614,30.408052,5.017874,8.943210,6.951381
3372461264,89,150063,1.058820,34.235180,5.647040,9.529380,7.058800,121.745634,30.023629,4.158079,8.610268,6.466816
3372750084,92,150090,1.058820,34.588120,4.941160,9.529380,7.411740,121.748388,29.963521,1.897665,7.161924,6.204914
